"date","ticker","open","high","low","close","volume","adjusted"
2024-11-17,"ADA",0.738731026649475,0.767812013626099,0.697027027606964,0.702324986457825,2319881888,0.702324986457825
2024-11-18,"ADA",0.702301025390625,0.779658019542694,0.702261984348297,0.734579980373383,2244334039,0.734579980373383
2024-11-19,"ADA",0.734579980373383,0.763529002666473,0.723857998847961,0.739642024040222,1551275089,0.739642024040222
2024-11-20,"ADA",0.739637017250061,0.846629023551941,0.739471971988678,0.800345003604889,3799019828,0.800345003604889
2024-11-21,"ADA",0.80034202337265,0.820546984672546,0.770385980606079,0.820474028587341,2536610264,0.820474028587341
2024-11-22,"ADA",0.820486009120941,1.03842496871948,0.815232992172241,1.01042294502258,6204396570,1.01042294502258
2024-11-23,"ADA",1.01042199134827,1.14168202877045,1.01041698455811,1.06623697280884,6544939547,1.06623697280884
2024-11-24,"ADA",1.06620001792908,1.09453999996185,0.948341012001038,1.02310597896576,3863056160,1.02310597896576
2024-11-25,"ADA",1.02311205863953,1.06991994380951,0.933550000190735,0.945689022541046,3241380612,0.945689022541046
2024-11-26,"ADA",0.945684015750885,0.988376975059509,0.879720985889435,0.961232006549835,2875634851,0.961232006549835
2024-11-27,"ADA",0.961184024810791,1.03671395778656,0.935437977313995,1.01334595680237,2606240084,1.01334595680237
2024-11-28,"ADA",1.01334798336029,1.04576897621155,0.977038025856018,1.03350794315338,1563014326,1.03350794315338
2024-11-29,"ADA",1.03350794315338,1.09779596328735,1.03045701980591,1.07685804367065,2218813144,1.07685804367065
2024-11-30,"ADA",1.07688701152802,1.14708495140076,1.0538409948349,1.07894194126129,2395901131,1.07894194126129
2024-12-01,"ADA",1.07893598079681,1.15849304199219,1.0409859418869,1.15525197982788,2300394616,1.15525197982788
2024-12-02,"ADA",1.1552859544754,1.23068499565125,1.06159698963165,1.20177602767944,5544891690,1.20177602767944
2024-12-03,"ADA",1.20179104804993,1.31868100166321,1.16982901096344,1.19812595844269,5770098588,1.19812595844269
2024-12-04,"ADA",1.19808304309845,1.2401750087738,1.14920496940613,1.18731999397278,2838477436,1.18731999397278
2024-12-05,"ADA",1.18723499774933,1.23835396766663,1.12628698348999,1.18471205234528,3207578224,1.18471205234528
2024-12-06,"ADA",1.16315603256226,1.23464202880859,1.143021941185,1.23110699653625,2258465650,1.23110699653625
2024-12-07,"ADA",1.23108100891113,1.23457503318787,1.19302105903625,1.21419596672058,1376386201,1.21419596672058
2024-12-08,"ADA",1.2144809961319,1.2221519947052,1.176677942276,1.19629096984863,1699042879,1.19629096984863
2024-12-09,"ADA",1.19629597663879,1.19641494750977,0.952205002307892,1.00754904747009,3280181154,1.00754904747009
2024-12-10,"ADA",1.00754702091217,1.03617298603058,0.914969027042389,1.0201610326767,3443248478,1.0201610326767
2024-12-11,"ADA",1.02029204368591,1.10928404331207,0.976945996284485,1.0888899564743,2130336502,1.0888899564743
2024-12-12,"ADA",1.0888489484787,1.17674994468689,1.07726502418518,1.1250159740448,2209430802,1.1250159740448
2024-12-13,"ADA",1.12500596046448,1.12748503684998,1.08135199546814,1.11960196495056,1325815818,1.11960196495056
2024-12-14,"ADA",1.11960196495056,1.13112998008728,1.04592800140381,1.06051194667816,4239229343,1.06051194667816
2024-12-15,"ADA",1.06051099300385,1.10708796977997,1.04263198375702,1.10170805454254,1008997536,1.10170805454254
2024-12-16,"ADA",1.10166597366333,1.11570596694946,1.05201601982117,1.07885599136353,1536006595,1.07885599136353
2024-12-17,"ADA",1.0788459777832,1.1090430021286,1.04528903961182,1.05152499675751,1578564654,1.05152499675751
2024-12-18,"ADA",1.05152702331543,1.05794501304626,0.968378007411957,0.968420028686523,1979056656,0.968420028686523
